trial_id,user_id,snapshot_date,trial_started_at,country,device_type,sessions_day1,sessions_day2,sessions_day3,listen_sessions_3d,total_minutes_3d,converted,sessions_3d,active_days_3d,day1_share,listen_share,avg_session_minutes
18,27075,2026-09-24,2026-08-01,India,Web,10,2,0,1,121,0,12,2,0.8333333333333334,0.08333333333333333,10.083333333333334
19,27076,2026-09-24,2026-08-01,US,Web,10,0,1,4,92,0,11,2,0.9090909090909091,0.36363636363636365,8.363636363636363
20,27078,2026-09-24,2026-08-01,Rest,iOS,4,3,4,6,161,1,11,3,0.36363636363636365,0.5454545454545454,14.636363636363637
21,27079,2026-09-24,2026-08-01,EU,Web,4,0,0,1,47,0,4,1,1.0,0.25,11.75
22,27080,2026-09-24,2026-08-01,US,Android,0,5,1,4,71,1,6,2,0.0,0.6666666666666666,11.833333333333334
23,27081,2026-09-24,2026-08-01,EU,Android,6,4,5,7,144,1,15,3,0.4,0.4666666666666667,9.6
24,27082,2026-09-24,2026-08-01,Rest,iOS,2,4,7,3,145,1,13,3,0.15384615384615385,0.23076923076923078,11.153846153846153
25,27086,2026-09-24,2026-08-01,Rest,iOS,5,4,5,6,146,1,14,3,0.35714285714285715,0.42857142857142855,10.428571428571429
26,27087,2026-09-24,2026-08-01,India,iOS,6,6,4,6,125,0,16,3,0.375,0.375,7.8125
27,27090,2026-09-24,2026-08-01,US,iOS,5,9,5,4,134,1,19,3,0.2631578947368421,0.21052631578947367,7.052631578947368
28,27093,2026-09-24,2026-08-01,Rest,Android,0,0,0,0,0,0,0,0,0.0,0.0,0.0
29,27094,2026-09-24,2026-08-01,Rest,Web,2,1,2,0,113,1,5,3,0.4,0.0,22.6
30,27097,2026-09-24,2026-08-01,US,Android,3,1,1,0,68,1,5,3,0.6,0.0,13.6
31,27098,2026-09-24,2026-08-01,India,iOS,3,4,2,2,75,1,9,3,0.3333333333333333,0.2222222222222222,8.333333333333334
32,27099,2026-09-24,2026-08-01,EU,Android,5,7,4,4,211,1,16,3,0.3125,0.25,13.1875
33,27101,2026-09-24,2026-08-01,US,Web,9,2,5,4,212,0,16,3,0.5625,0.25,13.25
34,27102,2026-09-24,2026-08-01,Rest,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
35,27103,2026-09-24,2026-08-01,US,Web,6,10,6,6,257,1,22,3,0.2727272727272727,0.2727272727272727,11.681818181818182
36,27104,2026-09-24,2026-08-01,Rest,Web,9,0,0,3,123,1,9,1,1.0,0.3333333333333333,13.666666666666666
37,27105,2026-09-24,2026-08-01,Rest,Android,1,1,1,0,21,0,3,3,0.3333333333333333,0.0,7.0
38,27109,2026-09-24,2026-08-01,Rest,iOS,10,12,6,10,469,1,28,3,0.35714285714285715,0.35714285714285715,16.75
39,27110,2026-09-24,2026-08-01,US,Android,0,2,1,1,55,1,3,2,0.0,0.3333333333333333,18.333333333333332
40,27111,2026-09-24,2026-08-01,US,iOS,9,9,4,13,177,1,22,3,0.4090909090909091,0.5909090909090909,8.045454545454545
41,27113,2026-09-24,2026-08-01,EU,Android,5,1,2,4,55,0,8,3,0.625,0.5,6.875
42,27114,2026-09-24,2026-08-01,EU,Android,6,4,6,11,187,1,16,3,0.375,0.6875,11.6875
43,27117,2026-09-24,2026-08-01,US,Android,3,3,0,0,41,1,6,2,0.5,0.0,6.833333333333333
44,27119,2026-09-24,2026-08-02,US,Web,3,4,4,4,120,0,11,3,0.2727272727272727,0.36363636363636365,10.909090909090908
45,27121,2026-09-24,2026-08-02,US,Web,3,4,5,2,136,1,12,3,0.25,0.16666666666666666,11.333333333333334
46,27122,2026-09-24,2026-08-02,Rest,iOS,10,1,1,2,149,0,12,3,0.8333333333333334,0.16666666666666666,12.416666666666666
47,27125,2026-09-24,2026-08-02,India,Android,9,3,0,6,162,0,12,2,0.75,0.5,13.5
48,27126,2026-09-24,2026-08-02,India,Web,4,1,4,4,108,1,9,3,0.4444444444444444,0.4444444444444444,12.0
49,27127,2026-09-24,2026-08-02,US,Web,3,0,0,2,31,0,3,1,1.0,0.6666666666666666,10.333333333333334
50,27130,2026-09-24,2026-08-02,India,Android,3,0,4,5,43,0,7,2,0.42857142857142855,0.7142857142857143,6.142857142857143
51,27133,2026-09-24,2026-08-02,Rest,iOS,1,0,0,1,2,0,1,1,1.0,1.0,2.0
52,27134,2026-09-24,2026-08-02,Rest,Android,1,6,3,4,50,1,10,3,0.1,0.4,5.0
53,27137,2026-09-24,2026-08-02,EU,iOS,5,3,2,5,109,1,10,3,0.5,0.5,10.9
54,27138,2026-09-24,2026-08-02,Rest,Web,2,3,7,5,95,1,12,3,0.16666666666666666,0.4166666666666667,7.916666666666667
55,27144,2026-09-24,2026-08-02,EU,Web,13,2,1,3,211,0,16,3,0.8125,0.1875,13.1875
56,27145,2026-09-24,2026-08-02,Rest,Web,2,1,1,0,42,0,4,3,0.5,0.0,10.5
57,27147,2026-09-24,2026-08-02,US,Web,0,0,1,1,23,0,1,1,0.0,1.0,23.0
58,27148,2026-09-24,2026-08-02,India,Web,6,1,1,2,99,0,8,3,0.75,0.25,12.375
59,27149,2026-09-24,2026-08-02,US,Android,5,7,6,9,192,1,18,3,0.2777777777777778,0.5,10.666666666666666
60,27151,2026-09-24,2026-08-02,Rest,Android,5,4,1,0,70,1,10,3,0.5,0.0,7.0
61,27152,2026-09-24,2026-08-02,India,iOS,3,4,2,2,80,1,9,3,0.3333333333333333,0.2222222222222222,8.88888888888889
62,27153,2026-09-24,2026-08-02,Rest,Web,1,2,6,4,116,1,9,3,0.1111111111111111,0.4444444444444444,12.88888888888889
63,27154,2026-09-24,2026-08-02,US,Android,4,3,6,3,127,1,13,3,0.3076923076923077,0.23076923076923078,9.76923076923077
64,27155,2026-09-24,2026-08-02,US,Android,1,2,1,3,16,0,4,3,0.25,0.75,4.0
65,27157,2026-09-24,2026-08-02,EU,iOS,2,3,2,0,83,1,7,3,0.2857142857142857,0.0,11.857142857142858
66,27162,2026-09-24,2026-08-02,US,Web,1,3,1,2,50,1,5,3,0.2,0.4,10.0
67,27165,2026-09-24,2026-08-02,Rest,iOS,2,4,2,4,84,1,8,3,0.25,0.5,10.5
68,27166,2026-09-24,2026-08-02,EU,Android,4,6,9,8,184,1,19,3,0.21052631578947367,0.42105263157894735,9.68421052631579
69,27167,2026-09-24,2026-08-02,US,iOS,1,4,0,2,64,1,5,2,0.2,0.4,12.8
70,27168,2026-09-24,2026-08-02,India,iOS,8,4,5,6,154,1,17,3,0.47058823529411764,0.35294117647058826,9.058823529411764
71,27171,2026-09-24,2026-08-02,India,iOS,1,4,1,1,34,1,6,3,0.16666666666666666,0.16666666666666666,5.666666666666667
72,27174,2026-09-24,2026-08-02,EU,iOS,9,1,1,3,118,1,11,3,0.8181818181818182,0.2727272727272727,10.727272727272727
73,27175,2026-09-24,2026-08-02,US,Web,4,3,2,0,143,1,9,3,0.4444444444444444,0.0,15.88888888888889
74,27176,2026-09-24,2026-08-02,EU,Android,1,4,1,1,69,0,6,3,0.16666666666666666,0.16666666666666666,11.5
75,27177,2026-09-24,2026-08-02,Rest,Android,0,0,0,0,0,0,0,0,0.0,0.0,0.0
76,27179,2026-09-24,2026-08-02,US,iOS,7,7,8,7,248,1,22,3,0.3181818181818182,0.3181818181818182,11.272727272727273
77,27180,2026-09-24,2026-08-02,India,iOS,2,3,3,4,76,1,8,3,0.25,0.5,9.5
78,27183,2026-09-24,2026-08-02,India,iOS,2,1,5,4,73,1,8,3,0.25,0.5,9.125
79,27186,2026-09-24,2026-08-02,US,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
80,27189,2026-09-24,2026-08-02,US,Web,5,3,5,1,144,1,13,3,0.38461538461538464,0.07692307692307693,11.076923076923077
81,27190,2026-09-24,2026-08-02,India,iOS,7,5,8,13,189,1,20,3,0.35,0.65,9.45
82,27192,2026-09-24,2026-08-02,Rest,Android,7,9,7,7,206,1,23,3,0.30434782608695654,0.30434782608695654,8.956521739130435
83,27193,2026-09-24,2026-08-02,EU,Web,3,1,0,2,21,0,4,2,0.75,0.5,5.25
84,27195,2026-09-24,2026-08-02,US,iOS,5,3,9,5,166,1,17,3,0.29411764705882354,0.29411764705882354,9.764705882352942
85,27197,2026-09-24,2026-08-02,India,Android,5,7,3,8,177,1,15,3,0.3333333333333333,0.5333333333333333,11.8
86,27199,2026-09-24,2026-08-02,EU,iOS,2,1,4,4,50,1,7,3,0.2857142857142857,0.5714285714285714,7.142857142857143
87,27204,2026-09-24,2026-08-02,US,iOS,0,1,0,1,25,0,1,1,0.0,1.0,25.0
88,27206,2026-09-24,2026-08-02,Rest,Web,6,0,0,0,40,0,6,1,1.0,0.0,6.666666666666667
89,27209,2026-09-24,2026-08-03,US,Web,1,0,0,0,2,0,1,1,1.0,0.0,2.0
90,27210,2026-09-24,2026-08-03,US,iOS,6,2,4,10,160,1,12,3,0.5,0.8333333333333334,13.333333333333334
91,27211,2026-09-24,2026-08-03,India,Web,16,1,1,4,148,1,18,3,0.8888888888888888,0.2222222222222222,8.222222222222221
92,27212,2026-09-24,2026-08-03,India,Web,1,1,2,0,40,0,4,3,0.25,0.0,10.0
93,27213,2026-09-24,2026-08-03,US,iOS,3,1,0,3,37,0,4,2,0.75,0.75,9.25
94,27217,2026-09-24,2026-08-03,India,Web,1,2,2,1,34,1,5,3,0.2,0.2,6.8
95,27218,2026-09-24,2026-08-03,Rest,Android,13,3,3,7,188,0,19,3,0.6842105263157895,0.3684210526315789,9.894736842105264
96,27220,2026-09-24,2026-08-03,EU,Android,11,1,0,5,108,0,12,2,0.9166666666666666,0.4166666666666667,9.0
97,27221,2026-09-24,2026-08-03,EU,Web,12,1,0,2,128,1,13,2,0.9230769230769231,0.15384615384615385,9.846153846153847
98,27222,2026-09-24,2026-08-03,EU,iOS,5,1,0,2,57,1,6,2,0.8333333333333334,0.3333333333333333,9.5
99,27224,2026-09-24,2026-08-03,EU,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
100,27226,2026-09-24,2026-08-03,EU,Web,1,0,0,0,17,0,1,1,1.0,0.0,17.0
101,27227,2026-09-24,2026-08-03,India,Android,6,2,2,2,121,0,10,3,0.6,0.2,12.1
102,27229,2026-09-24,2026-08-03,US,Web,0,0,1,1,44,0,1,1,0.0,1.0,44.0
103,27231,2026-09-24,2026-08-03,Rest,iOS,2,0,1,3,22,0,3,2,0.6666666666666666,1.0,7.333333333333333
104,27232,2026-09-24,2026-08-03,US,Android,3,4,3,7,74,1,10,3,0.3,0.7,7.4
105,27233,2026-09-24,2026-08-03,India,Android,7,4,9,6,263,1,20,3,0.35,0.3,13.15
106,27234,2026-09-24,2026-08-03,India,Android,10,0,0,2,147,0,10,1,1.0,0.2,14.7
107,27236,2026-09-24,2026-08-03,US,Web,3,2,6,2,170,1,11,3,0.2727272727272727,0.18181818181818182,15.454545454545455
108,27240,2026-09-24,2026-08-03,US,Web,4,4,6,2,178,1,14,3,0.2857142857142857,0.14285714285714285,12.714285714285714
109,27241,2026-09-24,2026-08-03,US,iOS,12,2,1,8,157,0,15,3,0.8,0.5333333333333333,10.466666666666667
110,27242,2026-09-24,2026-08-03,US,Web,1,2,4,4,82,0,7,3,0.14285714285714285,0.5714285714285714,11.714285714285714
111,27243,2026-09-24,2026-08-03,US,iOS,9,4,3,11,141,1,16,3,0.5625,0.6875,8.8125
112,27245,2026-09-24,2026-08-03,Rest,Web,2,6,10,3,196,0,18,3,0.1111111111111111,0.16666666666666666,10.88888888888889
113,27246,2026-09-24,2026-08-03,EU,iOS,5,1,1,4,50,0,7,3,0.7142857142857143,0.5714285714285714,7.142857142857143
114,27247,2026-09-24,2026-08-03,Rest,Android,2,2,1,1,62,1,5,3,0.4,0.2,12.4
115,27248,2026-09-24,2026-08-03,US,iOS,5,4,4,5,96,1,13,3,0.38461538461538464,0.38461538461538464,7.384615384615385
116,27251,2026-09-24,2026-08-03,US,Android,7,3,7,7,131,1,17,3,0.4117647058823529,0.4117647058823529,7.705882352941177
117,27255,2026-09-24,2026-08-03,India,Web,4,4,4,3,91,1,12,3,0.3333333333333333,0.25,7.583333333333333
118,27257,2026-09-24,2026-08-03,US,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
119,27258,2026-09-24,2026-08-03,Rest,Web,1,1,1,0,28,0,3,3,0.3333333333333333,0.0,9.333333333333334
120,27262,2026-09-24,2026-08-03,Rest,Web,0,0,0,0,0,0,0,0,0.0,0.0,0.0
121,27264,2026-09-24,2026-08-03,US,iOS,2,1,0,1,34,0,3,2,0.6666666666666666,0.3333333333333333,11.333333333333334
122,27265,2026-09-24,2026-08-03,US,Android,1,2,3,1,53,1,6,3,0.16666666666666666,0.16666666666666666,8.833333333333334
123,27266,2026-09-24,2026-08-03,Rest,Web,4,1,3,3,63,1,8,3,0.5,0.375,7.875
124,27274,2026-09-24,2026-08-03,EU,Web,11,5,8,4,224,1,24,3,0.4583333333333333,0.16666666666666666,9.333333333333334
125,27278,2026-09-24,2026-08-03,US,Android,2,5,3,6,72,1,10,3,0.2,0.6,7.2
126,27280,2026-09-24,2026-08-03,US,Android,11,9,6,13,345,1,26,3,0.4230769230769231,0.5,13.26923076923077
127,27282,2026-09-24,2026-08-03,EU,Android,1,1,1,2,36,0,3,3,0.3333333333333333,0.6666666666666666,12.0
128,27283,2026-09-24,2026-08-03,India,Android,7,4,2,11,158,1,13,3,0.5384615384615384,0.8461538461538461,12.153846153846153
129,27284,2026-09-24,2026-08-03,EU,Web,8,3,1,2,130,1,12,3,0.6666666666666666,0.16666666666666666,10.833333333333334
130,27285,2026-09-24,2026-08-03,India,Web,3,0,0,3,35,0,3,1,1.0,1.0,11.666666666666666
131,27290,2026-09-24,2026-08-04,Rest,Web,5,4,6,5,172,1,15,3,0.3333333333333333,0.3333333333333333,11.466666666666667
132,27295,2026-09-24,2026-08-04,India,Android,12,2,0,5,95,0,14,2,0.8571428571428571,0.35714285714285715,6.785714285714286
133,27296,2026-09-24,2026-08-04,US,Android,7,1,4,6,107,1,12,3,0.5833333333333334,0.5,8.916666666666666
134,27297,2026-09-24,2026-08-04,Rest,Web,2,3,2,6,146,0,7,3,0.2857142857142857,0.8571428571428571,20.857142857142858
135,27299,2026-09-24,2026-08-04,India,Android,16,0,3,11,180,0,19,2,0.8421052631578947,0.5789473684210527,9.473684210526315
136,27300,2026-09-24,2026-08-04,US,Web,3,0,0,2,38,0,3,1,1.0,0.6666666666666666,12.666666666666666
137,27301,2026-09-24,2026-08-04,US,Web,1,3,4,0,74,1,8,3,0.125,0.0,9.25
138,27302,2026-09-24,2026-08-04,Rest,iOS,12,0,1,11,159,0,13,2,0.9230769230769231,0.8461538461538461,12.23076923076923
139,27303,2026-09-24,2026-08-04,US,Android,0,0,2,1,7,0,2,1,0.0,0.5,3.5
140,27306,2026-09-24,2026-08-04,Rest,iOS,4,4,2,5,77,1,10,3,0.4,0.5,7.7
141,27307,2026-09-24,2026-08-04,US,iOS,6,6,8,7,304,1,20,3,0.3,0.35,15.2
142,27308,2026-09-24,2026-08-04,India,Android,12,1,0,4,127,0,13,2,0.9230769230769231,0.3076923076923077,9.76923076923077
143,27309,2026-09-24,2026-08-04,US,iOS,5,2,1,5,71,1,8,3,0.625,0.625,8.875
144,27310,2026-09-24,2026-08-04,India,Android,0,1,2,1,28,0,3,2,0.0,0.3333333333333333,9.333333333333334
145,27312,2026-09-24,2026-08-04,India,Web,2,1,1,2,45,0,4,3,0.5,0.5,11.25
146,27318,2026-09-24,2026-08-04,US,Web,2,0,0,0,18,0,2,1,1.0,0.0,9.0
147,27321,2026-09-24,2026-08-04,India,iOS,3,0,0,1,30,0,3,1,1.0,0.3333333333333333,10.0
148,27324,2026-09-24,2026-08-04,EU,Android,4,7,7,3,141,0,18,3,0.2222222222222222,0.16666666666666666,7.833333333333333
149,27327,2026-09-24,2026-08-04,Rest,iOS,5,5,5,4,147,1,15,3,0.3333333333333333,0.26666666666666666,9.8
150,27328,2026-09-24,2026-08-04,US,Android,0,4,1,2,28,1,5,2,0.0,0.4,5.6
151,27331,2026-09-24,2026-08-04,US,Web,2,9,2,7,168,1,13,3,0.15384615384615385,0.5384615384615384,12.923076923076923
152,27332,2026-09-24,2026-08-04,EU,Web,0,3,4,2,59,0,7,2,0.0,0.2857142857142857,8.428571428571429
153,27333,2026-09-24,2026-08-04,Rest,iOS,0,0,1,0,10,0,1,1,0.0,0.0,10.0
154,27334,2026-09-24,2026-08-04,EU,iOS,2,4,5,6,145,0,11,3,0.18181818181818182,0.5454545454545454,13.181818181818182
155,27339,2026-09-24,2026-08-04,Rest,Web,11,2,0,5,93,0,13,2,0.8461538461538461,0.38461538461538464,7.153846153846154
156,27343,2026-09-24,2026-08-04,EU,iOS,4,0,0,3,37,0,4,1,1.0,0.75,9.25
157,27346,2026-09-24,2026-08-04,US,Web,3,1,6,6,163,1,10,3,0.3,0.6,16.3
158,27347,2026-09-24,2026-08-04,India,Web,2,5,2,2,120,1,9,3,0.2222222222222222,0.2222222222222222,13.333333333333334
159,27351,2026-09-24,2026-08-04,India,iOS,3,4,2,4,89,1,9,3,0.3333333333333333,0.4444444444444444,9.88888888888889
160,27352,2026-09-24,2026-08-04,India,iOS,2,2,2,2,37,1,6,3,0.3333333333333333,0.3333333333333333,6.166666666666667
161,27355,2026-09-24,2026-08-04,US,Web,0,2,1,1,12,0,3,2,0.0,0.3333333333333333,4.0
162,27359,2026-09-24,2026-08-04,US,Web,1,1,3,3,31,1,5,3,0.2,0.6,6.2
163,27361,2026-09-24,2026-08-04,US,Web,3,1,1,2,58,0,5,3,0.6,0.4,11.6
164,27362,2026-09-24,2026-08-04,EU,Web,11,4,1,4,155,1,16,3,0.6875,0.25,9.6875
165,27365,2026-09-24,2026-08-05,US,Android,7,0,2,4,74,0,9,2,0.7777777777777778,0.4444444444444444,8.222222222222221
166,27366,2026-09-24,2026-08-05,US,Web,8,0,0,2,64,0,8,1,1.0,0.25,8.0
167,27368,2026-09-24,2026-08-05,EU,iOS,0,0,0,0,0,0,0,0,0.0,0.0,0.0
168,27369,2026-09-24,2026-08-05,US,Web,11,0,1,1,115,1,12,2,0.9166666666666666,0.08333333333333333,9.583333333333334
169,27370,2026-09-24,2026-08-05,US,Web,16,0,4,7,184,0,20,2,0.8,0.35,9.2
170,27371,2026-09-24,2026-08-05,US,Android,11,6,7,19,223,1,24,3,0.4583333333333333,0.7916666666666666,9.291666666666666
171,27373,2026-09-24,2026-08-05,US,Web,10,1,1,5,168,0,12,3,0.8333333333333334,0.4166666666666667,14.0
172,27374,2026-09-24,2026-08-05,India,iOS,3,0,4,2,68,1,7,2,0.42857142857142855,0.2857142857142857,9.714285714285714
173,27378,2026-09-24,2026-08-05,India,Web,3,3,4,5,136,1,10,3,0.3,0.5,13.6
174,27379,2026-09-24,2026-08-05,EU,iOS,0,1,1,1,13,0,2,2,0.0,0.5,6.5
175,27380,2026-09-24,2026-08-05,Rest,iOS,5,3,3,4,135,1,11,3,0.45454545454545453,0.36363636363636365,12.272727272727273
176,27381,2026-09-24,2026-08-05,US,Web,6,1,0,1,98,0,7,2,0.8571428571428571,0.14285714285714285,14.0
177,27385,2026-09-24,2026-08-05,Rest,Android,0,5,1,1,41,0,6,2,0.0,0.16666666666666666,6.833333333333333
178,27387,2026-09-24,2026-08-05,US,iOS,3,3,1,2,68,1,7,3,0.42857142857142855,0.2857142857142857,9.714285714285714
179,27388,2026-09-24,2026-08-05,EU,Android,1,1,2,1,31,0,4,3,0.25,0.25,7.75
180,27389,2026-09-24,2026-08-05,US,Android,3,2,1,1,46,0,6,3,0.5,0.16666666666666666,7.666666666666667
181,27391,2026-09-24,2026-08-05,Rest,Android,7,2,2,8,153,0,11,3,0.6363636363636364,0.7272727272727273,13.909090909090908
182,27392,2026-09-24,2026-08-05,US,Android,2,5,2,4,95,1,9,3,0.2222222222222222,0.4444444444444444,10.555555555555555
183,27393,2026-09-24,2026-08-05,US,iOS,7,2,4,3,174,1,13,3,0.5384615384615384,0.23076923076923078,13.384615384615385
184,27396,2026-09-24,2026-08-05,US,iOS,3,3,4,8,121,1,10,3,0.3,0.8,12.1
185,27399,2026-09-24,2026-08-05,India,Android,0,0,4,2,57,0,4,1,0.0,0.5,14.25
186,27404,2026-09-24,2026-08-05,US,Android,7,10,7,20,233,1,24,3,0.2916666666666667,0.8333333333333334,9.708333333333334
187,27408,2026-09-24,2026-08-05,US,Web,4,5,5,5,131,1,14,3,0.2857142857142857,0.35714285714285715,9.357142857142858
188,27409,2026-09-24,2026-08-05,US,Android,0,3,0,1,36,0,3,1,0.0,0.3333333333333333,12.0
189,27411,2026-09-24,2026-08-05,US,Android,5,7,3,6,139,1,15,3,0.3333333333333333,0.4,9.266666666666667
190,27412,2026-09-24,2026-08-05,India,Android,1,3,5,9,138,1,9,3,0.1111111111111111,1.0,15.333333333333334
191,27413,2026-09-24,2026-08-05,India,iOS,2,0,2,0,13,1,4,2,0.5,0.0,3.25
192,27414,2026-09-24,2026-08-05,US,Web,10,1,0,4,70,0,11,2,0.9090909090909091,0.36363636363636365,6.363636363636363
193,27415,2026-09-24,2026-08-05,US,Web,30,1,0,0,353,0,31,2,0.967741935483871,0.0,11.387096774193548
194,27416,2026-09-24,2026-08-05,India,Android,4,2,5,11,114,1,11,3,0.36363636363636365,1.0,10.363636363636363
195,27417,2026-09-24,2026-08-05,EU,Web,6,4,2,1,126,1,12,3,0.5,0.08333333333333333,10.5
196,27418,2026-09-24,2026-08-05,US,iOS,3,1,3,1,70,1,7,3,0.42857142857142855,0.14285714285714285,10.0
197,27423,2026-09-24,2026-08-05,US,Web,4,3,1,2,96,1,8,3,0.5,0.25,12.0
198,27424,2026-09-24,2026-08-05,India,iOS,4,2,4,3,163,1,10,3,0.4,0.3,16.3
199,27430,2026-09-24,2026-08-05,US,Android,2,3,1,2,52,0,6,3,0.3333333333333333,0.3333333333333333,8.666666666666666
200,27431,2026-09-24,2026-08-05,EU,Web,3,4,4,3,129,1,11,3,0.2727272727272727,0.2727272727272727,11.727272727272727
201,27432,2026-09-24,2026-08-05,India,Web,2,3,5,0,72,0,10,3,0.2,0.0,7.2
202,27434,2026-09-24,2026-08-05,EU,iOS,2,10,5,6,295,1,17,3,0.11764705882352941,0.35294117647058826,17.352941176470587
203,27435,2026-09-24,2026-08-05,India,Web,1,0,1,0,10,0,2,2,0.5,0.0,5.0
204,27436,2026-09-24,2026-08-05,EU,iOS,6,4,6,3,172,1,16,3,0.375,0.1875,10.75
205,27437,2026-09-24,2026-08-05,Rest,Web,15,0,1,3,129,0,16,2,0.9375,0.1875,8.0625
206,27438,2026-09-24,2026-08-05,EU,iOS,2,3,2,1,98,1,7,3,0.2857142857142857,0.14285714285714285,14.0
207,27439,2026-09-24,2026-08-05,EU,iOS,1,3,3,3,92,1,7,3,0.14285714285714285,0.42857142857142855,13.142857142857142
208,27446,2026-09-24,2026-08-05,US,iOS,1,1,2,3,34,1,4,3,0.25,0.75,8.5
209,27447,2026-09-24,2026-08-05,Rest,Web,2,3,1,3,98,0,6,3,0.3333333333333333,0.5,16.333333333333332
210,27449,2026-09-24,2026-08-06,US,iOS,1,7,2,2,117,1,10,3,0.1,0.2,11.7
211,27450,2026-09-24,2026-08-06,EU,iOS,4,3,5,3,97,1,12,3,0.3333333333333333,0.25,8.083333333333334
212,27458,2026-09-24,2026-08-06,EU,Android,3,1,2,2,29,0,6,3,0.5,0.3333333333333333,4.833333333333333
213,27459,2026-09-24,2026-08-06,EU,Android,0,0,2,1,29,0,2,1,0.0,0.5,14.5
214,27460,2026-09-24,2026-08-06,US,iOS,0,4,5,4,160,1,9,2,0.0,0.4444444444444444,17.77777777777778
215,27461,2026-09-24,2026-08-06,Rest,Android,3,1,3,5,78,1,7,3,0.42857142857142855,0.7142857142857143,11.142857142857142
216,27463,2026-09-24,2026-08-06,US,Android,32,3,1,29,449,1,36,3,0.8888888888888888,0.8055555555555556,12.472222222222221
217,27464,2026-09-24,2026-08-06,Rest,Android,5,0,0,1,76,0,5,1,1.0,0.2,15.2
218,27465,2026-09-24,2026-08-06,US,Web,6,3,8,5,147,1,17,3,0.35294117647058826,0.29411764705882354,8.647058823529411
219,27466,2026-09-24,2026-08-06,EU,iOS,2,3,1,4,141,1,6,3,0.3333333333333333,0.6666666666666666,23.5
220,27469,2026-09-24,2026-08-06,India,Android,17,1,0,14,176,0,18,2,0.9444444444444444,0.7777777777777778,9.777777777777779
221,27473,2026-09-24,2026-08-06,India,iOS,7,1,0,7,51,1,8,2,0.875,0.875,6.375
222,27474,2026-09-24,2026-08-06,Rest,Android,3,3,2,2,120,0,8,3,0.375,0.25,15.0
223,27475,2026-09-24,2026-08-06,US,Android,12,0,2,3,179,1,14,2,0.8571428571428571,0.21428571428571427,12.785714285714286
224,27476,2026-09-24,2026-08-06,India,Web,2,2,4,2,86,0,8,3,0.25,0.25,10.75
225,27478,2026-09-24,2026-08-06,India,Android,0,2,2,2,61,0,4,2,0.0,0.5,15.25
226,27479,2026-09-24,2026-08-06,India,iOS,8,7,6,11,267,1,21,3,0.38095238095238093,0.5238095238095238,12.714285714285714
227,27480,2026-09-24,2026-08-06,EU,iOS,2,3,0,3,50,0,5,2,0.4,0.6,10.0
228,27482,2026-09-24,2026-08-06,US,Android,2,1,4,3,46,1,7,3,0.2857142857142857,0.42857142857142855,6.571428571428571
229,27483,2026-09-24,2026-08-06,EU,Android,9,6,6,7,170,1,21,3,0.42857142857142855,0.3333333333333333,8.095238095238095
230,27484,2026-09-24,2026-08-06,EU,Web,1,0,1,0,9,0,2,2,0.5,0.0,4.5
